gene_id	gene_name	X442_old_CA1_low	X466_old_SUB_low	T14_new_CA1_high	T14_new_CA1_low	T14_new_CA1_med	T15_new_CA1_low
ENSMUSG00000000001	Gnai3	0	0	10.7366633362506	16.6630432446331	18.444010530109	25.8177165610134
ENSMUSG00000000003	Pbsn	0	0	0	0	0	0
ENSMUSG00000000028	Cdc45	0	0	0	0	0	0
ENSMUSG00000000031	H19	0	0	0	0	0	0
ENSMUSG00000000037	Scml2	0	0	0	0	0	0
ENSMUSG00000000049	Apoh	0	0	0	0	0	0
ENSMUSG00000000056	Narf	0	141.053489894103	0.949937207852095	3.6397246447132	3.97793795197076	1.60244853456498
ENSMUSG00000000058	Cav2	0	0	0.786593927483691	0	0	0.381756363681283
ENSMUSG00000000078	Klf6	0	0	0.495028561898134	114.453464062873	91.5542958724527	0.477391835239778
ENSMUSG00000000085	Scmh1	0	202.506288639912	0	33.2436254698167	34.9758355040484	17.3495464187166
ENSMUSG00000000088	Cox5a	1081.44014059183	4144.10222378563	379.957488321317	45.3680205133213	57.2824731901433	924.934017074756
ENSMUSG00000000093	Tbx2	0	0	0	0	0	0
ENSMUSG00000000094	Tbx4	0	0	0	0	0	0
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	0	0	0	0	0	0
ENSMUSG00000000125	Wnt3	0.401336756487545	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	0	0	0	0	0	0
ENSMUSG00000000127	Fer	158.686673818309	0	0	32.0932771056774	6.5388712084638	0
ENSMUSG00000000131	Xpo6	52.1330192011396	18.7293127699684	0	3.28905584505691	8.39469922873004	0
ENSMUSG00000000134	Tfe3	0	0	6.48474615873316	0	0	10.627608104927
ENSMUSG00000000142	Axin2	0	0	0	0	0	0
ENSMUSG00000000148	Brat1	0	42.3627133958398	0	0	0	0
ENSMUSG00000000149	Gna12	0	0	1.85864692665717	0	0	2.09696309012899
ENSMUSG00000000154	Slc22a18	0	0	0	0	0	0
ENSMUSG00000000157	Itgb2l	0	0	0	0	0	0
ENSMUSG00000000159	Igsf5	0	0	0	0	0	0
ENSMUSG00000000167	Pih1d2	0	0	0	0	0	0
ENSMUSG00000000168	Dlat	0	382.556168934659	10.3910608325327	18.5915551595913	19.0785902804602	25.5670824478864
ENSMUSG00000000171	Sdhd	22.4926225412775	780.578090344204	91.7866956866736	1.26009233303857	2.48826516466627	211.744464867128
ENSMUSG00000000182	Fgf23	0	0	0	0	0	0
ENSMUSG00000000183	Fgf6	0	0	0	0	0	0
ENSMUSG00000000184	Ccnd2	135.029350321992	1.26963767517298	0.951429373025326	48.4354268023291	101.43169173807	3.4931580164084
ENSMUSG00000000194	Gpr107	6.21634217229371	0	1.00733871316517	0	0	0.484012559656376
ENSMUSG00000000197	Nalcn	15.4761990804246	224.084474621981	1.15141529737839	12.0289260221587	19.9720119053169	3.86857398238677
ENSMUSG00000000202	Btbd17	0	0	6.5667628580465	0	0	13.5450396253401
ENSMUSG00000000204	Slfn4	0	0	0	0	0	0
ENSMUSG00000000214	Th	0	0	0	0	0	0
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	0	0	0	0	0	0
ENSMUSG00000000223	Drp2	4.67576956806443	0	1.72388514937356	0	0	2.3443464769475
ENSMUSG00000000244	Tspan32	0	0	0	0	0	0
ENSMUSG00000000247	Lhx2	0	0.484428051982905	16.5038703426952	7.25817545612705	8.75091618192539	32.2100932180686
ENSMUSG00000000248	Clec2g	0	0	0	0	0	0
